E	Sunny	MCX bridge	MCX native	exact
172.0	-17.9471378326416	-17.949983596801758	-17.934070587158203	-17.94775179107603
176.0	-18.7689208984375	-18.76066780090332	-18.75749397277832	-18.762976942812088
180.0	-19.599748611450195	-19.584508895874023	-19.59592628479004	-19.594482540877067
184.0	-20.44635772705078	-20.42835235595703	-20.440326690673828	-20.442131014973853
188.0	-21.315622329711914	-21.28543472290039	-21.297147750854492	-21.30578425481798
192.0	-22.195817947387695	-22.17344856262207	-22.181137084960938	-22.185303686044108
196.0	-23.085886001586914	-23.067358016967773	-23.08661651611328	-23.080550342448447
200.0	-23.997159957885742	-23.97580337524414	-23.993446350097656	-23.991384934628968
204.0	-24.917938232421875	-24.902578353881836	-24.916820526123047	-24.917667915093233
208.0	-25.856407165527344	-25.846599578857422	-25.852693557739258	-25.85925953991125
212.0	-26.81437110900879	-26.7974853515625	-26.821496963500977	-26.81601992699558
216.0	-27.786962509155273	-27.7744197845459	-27.793834686279297	-27.787809111096493
220.0	-28.771297454833984	-28.75564193725586	-28.779354095458984	-28.774487095603945
224.0	-29.779752731323242	-29.752208709716797	-29.78322410583496	-29.77591390125059
228.0	-30.798593521118164	-30.766664505004883	-30.800968170166016	-30.79194961181298
232.0	-31.830190658569336	-31.799205780029297	-31.831790924072266	-31.82245441690918
236.0	-32.87020492553711	-32.84989356994629	-32.87636184692383	-32.86728865199177
240.0	-33.927812576293945	-33.90587615966797	-33.93948173522949	-33.926312835636196
244.0	-34.99402046203613	-34.97865295410156	-35.0136775970459	-34.99938770422247
248.0	-36.081560134887695	-36.06599807739258	-36.099294662475586	-36.086374244108754
252.0	-37.189626693725586	-37.175493240356445	-37.19997596740723	-37.18713372139206
256.0	-38.30034255981445	-38.29587936401367	-38.32296371459961	-38.30152770935021
260.0	-39.42456817626953	-39.430294036865234	-39.454885482788086	-39.429418113654464
264.0	-40.55899429321289	-40.57447814941406	-40.592763900756836	-40.57066719543968
